comunidad,num.entrevista,nombre.recurso,tipo.terreno,terreno.tamano.m2.,riego,manejo.producto,manejo.herramienta,manejo.estructura
Aticpac,9,cafe,huerto,396,temporal,NA,manual,NA
Aticpac,9,cafe,parcela,4401.6,temporal,NA,manual,NA
Aticpac,9,topetl,parcela,4401.6,temporal,NA,manual,NA
Aticpac,9,tepexilotl,huerto,397,temporal,NA,manual,NA
Aticpac,9,naranja,huerto,398,temporal,NA,manual,NA
Aticpac,9,velikmoli,huerto,399,temporal,NA,manual,NA
Aticpac,9,velikmoli,huerto,399,temporal,NA,manual,NA
Aticpac,9,aztokilitl,huerto,400,temporal,NA,manual,NA
Aticpac,9,aztokilitl,parcela,5031.4,temporal,NA,manual,NA
Aticpac,9,tzopelikilitl,huerto,401,temporal,NA,manual,NA
Aticpac,9,tzopelikilitl,parcela,5031.4,temporal,NA,manual,NA
Aticpac,9,iztananacatl,monte,NA,NA,NA,manual,NA
Aticpac,9,tonagas,monte,NA,NA,NA,manual,NA
Aticpac,9,xochitekonzi,monte,NA,NA,NA,manual,NA
Aticpac,9,maiz,parcela,5031.4,temporal,NA,manual,NA
Aticpac,9,frijol,parcela,5031.4,temporal,NA,manual,NA
Aticpac,10,frijol,huerto,1000,temporal,cal,manual,NA
Aticpac,10,frijol,parcela,10000,temporal,cal,manual,rotacion_cultivo
Aticpac,10,maiz,huerto,1000,temporal,cal,manual,NA
Aticpac,10,maiz,parcela,10000,temporal,cal,manual,rotacion_cultivo
Aticpac,10,maiz,parcela,7500,temporal,cal,manual,rotacion_cultivo
Aticpac,10,platano,huerto,1000,temporal,cal,manual,NA
Aticpac,10,tepexilotl,huerto,1000,temporal,NA,manual,NA
Aticpac,10,tepexilotl,huerto,1000,temporal,NA,manual,NA
Aticpac,10,tepexilotl,parcela,10000,temporal,NA,manual,rotacion_cultivo
Aticpac,10,tepexilotl,parcela,10000,temporal,NA,manual,rotacion_cultivo
Aticpac,10,tepexilotl,parcela,7500,temporal,NA,manual,rotacion_cultivo
